,yhat_lower,yhat_upper,y_pred
0,415.0,473.0,445.0
1,396.0,451.0,424.0
2,434.0,493.0,462.0
3,422.0,481.0,452.0
4,426.0,484.0,455.0
5,420.0,478.0,448.0
6,446.0,503.0,474.0
7,411.0,470.0,440.0
8,419.0,476.0,446.0
9,433.0,490.0,462.0
10,435.0,495.0,464.0
11,438.0,496.0,466.0
12,454.0,514.0,485.0
13,444.0,500.0,474.0
14,456.0,517.0,488.0
15,461.0,521.0,491.0
16,486.0,550.0,519.0
17,475.0,534.0,505.0
18,504.0,564.0,534.0
19,497.0,557.0,527.0
20,482.0,544.0,514.0
21,482.0,539.0,510.0
22,453.0,513.0,483.0
23,477.0,538.0,506.0
